game_id,detail_id
379720,14
379720,8
379720,6
379720,29
379720,30
379720,10
379720,25
637090,14
637090,8
637090,21
637090,13
637090,29
637090,30
637090,25
477160,14
477160,21
477160,27
477160,9
477160,29
477160,7
477160,30
477160,25
477160,31
644930,14
644930,29
644930,30
644930,25
644930,31
644930,26
527230,14
527230,8
527230,21
527230,19
527230,6
527230,5
527230,27
527230,9
527230,29
527230,7
527230,30
527230,25
567640,14
567640,29
567640,7
567640,30
567640,25
597170,14
597170,8
597170,21
597170,29
597170,7
597170,12
597170,11
597170,25
597170,20
899440,14
899440,21
899440,5
899440,29
899440,30
899440,10
899440,25
459220,14
459220,21
459220,5
459220,29
459220,7
459220,30
459220,12
459220,25
459220,26
787480,14
787480,29
787480,30
787480,10
787480,25
785260,14
785260,8
785260,29
785260,30
785260,25
475150,14
475150,8
475150,21
475150,6
475150,5
475150,29
475150,30
475150,11
475150,25
475150,20
400,14
400,29
400,12
400,10
400,20
400,16
400,17
246900,14
246900,8
246900,6
246900,9
246900,29
246900,7
246900,30
246900,11
246900,25
246900,20
589360,14
589360,29
589360,7
589360,30
413420,14
413420,29
413420,7
413420,30
413420,25
641990,14
641990,8
641990,21
641990,19
641990,6
641990,5
641990,27
641990,9
641990,29
641990,7
641990,30
641990,25
641990,26
102500,14
102500,29
102500,10
102500,25
56437,14
56437,8
56437,6
56437,29
56437,25
56437,31
56437,26
1038810,14
1038810,7
268050,14
268050,29
268050,7
268050,30
268050,12
268050,25
614570,14
614570,29
614570,7
614570,25
310950,14
310950,8
310950,13
310950,29
310950,7
310950,30
397460,14
397460,19
397460,27
397460,29
397460,30
397460,10
397460,25
270150,14
270150,8
270150,21
270150,6
270150,5
270150,13
270150,29
270150,30
270150,11
410900,14
410900,21
410900,5
410900,29
410900,11
410900,26
410900,20
799640,14
799640,29
799640,7
799640,25
291650,14
291650,29
291650,30
291650,25
291650,17
466560,14
466560,8
466560,21
466560,6
466560,5
466560,29
466560,30
466560,25
285900,8
285900,21
285900,19
285900,9
285900,29
285900,7
738540,14
738540,19
738540,6
738540,27
738540,29
738540,7
738540,25
738540,26
359870,14
359870,29
359870,30
359870,10
359870,25
204360,14
204360,8
204360,21
204360,19
204360,6
204360,5
204360,27
204360,9
204360,13
204360,29
204360,7
204360,30
204360,25
204360,26
675010,14
675010,5
675010,29
675010,7
675010,30
675010,11
675010,25
