game_id,genre_id
379720,18
637090,18
637090,7
637090,16
477160,7
477160,13
644930,16
644930,8
527230,7
527230,13
527230,9
527230,16
567640,7
597170,18
597170,13
597170,8
899440,18
459220,16
787480,7
785260,1
475150,18
475150,9
400,18
246900,13
246900,12
589360,7
589360,9
413420,7
641990,13
641990,12
641990,16
102500,18
102500,9
56437,16
1038810,7
1038810,9
1038810,12
268050,18
614570,18
310950,18
397460,10
397460,13
397460,16
270150,18
270150,13
410900,18
410900,16
799640,18
799640,7
799640,13
799640,8
291650,9
466560,13
466560,12
466560,16
285900,18
285900,7
285900,10
285900,13
738540,9
359870,9
204360,18
204360,7
204360,10
204360,13
204360,9
675010,12
341800,13
1018020,18
225540,18
225540,7
8870,18
244450,18
244450,12
244450,16
816020,18
287700,18
287700,7
389730,18
389730,20
571740,10
571740,13
571740,12
571740,20
571740,8
678950,18
454650,18
454650,7
454650,10
454650,2
323190,12
323190,16
288470,9
257350,9
257350,16
621060,13
621060,12
365360,13
365360,9
365360,16
378540,18
378540,9
712100,18
712100,16
453090,13
453090,12
727130,18
727130,7
727130,13
727130,9
727130,12
727130,16
727130,8
326460,18
326460,10
326460,13
326460,2
326460,16
326460,8
289130,9
289130,16
690790,1
690790,12
690790,20
601050,18
582160,18
582160,7
582160,9
817130,12
817130,20
367500,18
367500,7
367500,9
489630,16
704270,18
704270,7
325610,16
233450,13
233450,12
233450,16
704850,18
704850,7
704850,13
704850,12
960090,16
519860,18
519860,13
445980,18
445980,7
445980,13
610180,10
610180,13
610180,16
410320,18
535930,13
535930,12
352720,13
352720,12
352720,16
352720,8
312660,18
312660,7
373420,7
373420,13
373420,9
373420,16
448280,12
334230,13
334230,9
334230,16
431240,10
431240,13
431240,20
431240,8
20920,9
231430,16
221680,10
221680,12
502500,18
502500,12
726830,18
726830,7
726830,12
228280,9
228280,16
695290,13
695290,12
695290,20
695290,16
880940,18
880940,10
880940,13
450540,18
450540,13
450540,12
450540,8
601430,18
601430,7
378860,1
201270,16
39140,9
227300,13
227300,12
392110,16
674940,18
674940,10
674940,13
699170,13
699170,9
699170,16
831980,13
831980,12
831980,20
831980,16
205100,18
205100,7
244210,13
244210,1
244210,12
244210,20
666140,7
666140,10
666140,13
666140,9
666140,12
611660,9
311690,18
311690,7
311690,13
342180,18
342180,7
342180,13
266840,12
266840,16
872790,12
872790,20
451340,13
451340,12
1061090,18
1061090,7
1061090,13
24010,12
531510,18
531510,13
232090,18
433340,18
433340,7
433340,13
433340,12
48700,18
48700,9
715560,7
715560,13
250900,18
774461,10
310060,7
310060,13
310060,9
310060,12
310060,16
858810,13
858810,12
858810,16
736260,13
361420,7
361420,13
367520,18
367520,7
367520,13
569480,13
569480,12
569480,16
362960,7
362960,9
268500,16
620,18
620,7
457140,13
457140,12
457140,8
648350,12
648350,16
284160,1
284160,12
284160,8
1034900,18
751780,18
751780,7
751780,13
751780,12
434170,10
434170,13
434170,16
236430,18
236430,9
214950,16
645630,1
645630,12
524220,18
524220,9
262060,13
262060,9
262060,16
617830,18
617830,13
264710,7
264710,13
431960,5
431960,15
431960,6
251570,18
251570,7
251570,13
251570,9
251570,12
251570,16
251570,8
22380,18
22380,9
464920,12
464920,16
201810,18
268910,18
268910,13
236850,12
236850,16
813630,18
813630,7
813630,13
211820,18
211820,7
211820,10
211820,13
211820,9
841370,12
841370,20
253230,7
253230,13
646570,13
646570,16
218620,18
218620,9
239030,7
239030,13
548430,18
548430,13
548430,8
275850,18
275850,7
492720,12
492720,16
518790,7
518790,12
518790,20
480490,18
480490,7
286160,10
286160,13
286160,9
286160,12
286160,16
973760,7
973760,9
732690,18
732690,10
301970,18
301970,13
244850,18
244850,13
244850,12
244850,16
8930,16
221380,16
648800,7
648800,13
648800,12
648800,8
427520,10
427520,13
427520,12
427520,16
427520,8
364360,18
364360,16
247080,18
247080,13
247080,9
4000,13
4000,12
611670,9
787860,12
203770,9
203770,12
203770,16
242760,18
242760,7
242760,13
242760,12
493340,12
493340,16
728880,18
728880,10
728880,13
403640,18
105600,18
105600,7
105600,13
105600,9
641320,10
641320,13
641320,12
394360,12
394360,16
851100,18
851100,7
851100,13
413150,13
413150,9
413150,12
346110,18
346110,7
346110,13
346110,2
346110,9
335300,18
335300,9
921570,9
107410,18
107410,12
107410,16
582010,18
435150,7
435150,9
435150,16
613100,13
613100,12
239140,18
239140,9
261640,18
261640,9
255710,12
255710,16
281990,12
281990,16
270880,13
270880,12
289070,16
570940,18
594570,18
594570,16
377160,9
252950,18
252950,13
252950,1
252950,20
49520,18
49520,9
374320,18
429050,18
429050,13
429050,12
429050,8
3590,16
219640,18
219640,13
447820,18
447820,13
447820,16
299740,18
299740,7
299740,13
299740,2
299740,9
299740,12
299740,16
293780,18
293780,13
293780,9
607890,18
607890,7
607890,10
607890,9
859580,12
859580,16
250320,7
613830,9
931280,13
931280,16
586950,18
586950,7
268130,18
268130,7
268130,13
268130,16
748360,18
440310,18
440310,7
440310,13
440310,8
546050,18
546050,10
442120,12
848350,18
848350,10
468920,10
468920,12
468920,20
831560,18
442070,10
442070,13
442070,16
428690,13
428690,12
428690,16
233610,18
233610,13
233610,1
110800,7
110800,16
286690,18
327070,18
327070,7
327070,13
327070,2
327070,9
327070,12
327070,8
503580,18
503580,7
503580,10
503580,13
420530,7
420530,10
420530,13
436670,9
552920,13
552920,2
552920,12
222880,18
222880,13
222880,16
718560,16
764790,18
764790,13
770390,7
770390,13
512900,18
512900,7
512900,13
512900,9
512900,8
365960,1
365960,12
365960,20
1018850,7
1018850,10
1018850,13
790850,18
790850,7
790850,13
790850,9
205190,10
205190,12
931500,7
931500,13
931500,9
750050,12
448510,18
448510,10
448510,13
448510,12
591370,13
591370,12
591370,16
1018010,18
1018010,7
1018010,1
1018010,9
1018010,12
1018010,20
3830,18
559650,18
559650,10
559650,13
559650,8
951440,18
951440,12
951440,8
285190,18
285190,12
285190,16
429660,18
429660,9
809140,13
809140,12
809140,16
809140,8
501300,7
501300,13
65980,16
244160,12
244160,16
42910,18
42910,9
596970,7
596970,13
596970,9
541570,7
541570,13
537800,12
537800,16
597220,7
597220,13
597220,9
611160,18
611160,7
611160,9
611160,8
544610,16
588190,12
445220,18
445220,13
445220,12
445220,8
493900,12
493900,16
282800,13
282800,16
683320,7
683320,13
271260,18
271260,7
271260,13
271260,9
271260,12
351510,10
351510,13
351510,16
213670,18
213670,7
213670,9
677120,18
677120,13
677120,9
809720,10
809720,13
809720,12
809720,16
265930,10
265930,13
265930,12
210970,7
210970,13
307110,18
307110,13
307110,12
307110,8
377840,9
606150,18
606150,7
606150,13
292120,9
231740,13
231740,9
282140,18
282140,7
282140,13
290340,7
290340,13
290340,9
290340,16
863590,18
863590,7
863590,13
863590,9
863590,8
613880,12
572410,18
572410,12
572410,16
274920,5
274920,17
950050,18
950050,7
274170,18
274170,13
622650,18
622650,13
219150,18
219150,13
282070,7
282070,13
282070,12
220,18
481510,7
281610,16
480650,12
383870,7
383870,13
39150,9
1065970,10
1065970,13
967050,18
967050,7
967050,10
967050,13
967050,16
209000,18
209000,7
793690,16
844040,18
844040,1
844040,12
844040,20
673880,16
230190,13
230190,12
230190,16
646910,18
646910,2
646910,1
65800,18
65800,13
65800,9
65800,16
447020,12
671510,18
671510,7
671510,9
1055090,13
1055090,12
1055090,16
1055090,8
503560,10
503560,13
503560,12
503560,16
322170,18
322170,13
544750,18
34270,18
34270,7
34270,10
34270,9
466300,7
466300,9
466300,16
587430,13
801630,18
239820,10
239820,13
239820,12
239820,16
320040,7
320040,13
320040,9
392160,18
392160,12
427290,18
427290,9
399810,7
399810,9
362890,18
362890,7
362890,13
362890,8
544550,18
544550,13
544550,12
544550,8
647830,18
55150,18
247000,13
247000,9
247000,16
394510,18
349040,18
349040,7
521890,7
521890,13
521890,16
418650,18
226840,9
226840,16
200710,18
200710,7
200710,13
200710,9
555880,18
555880,13
555880,9
555880,16
521150,13
521150,12
521150,16
521150,8
400940,18
400940,7
400940,13
503940,12
503940,16
553310,18
553310,13
553310,20
384190,18
384190,7
384190,10
384190,13
384190,12
208580,9
731490,18
804490,18
804490,13
804490,12
804490,20
394690,18
394690,7
394690,10
394690,13
394690,2
394690,8
313120,7
313120,13
313120,8
240720,18
1046030,10
1046030,13
1046030,16
718670,13
718670,9
718670,12
200510,16
350080,18
368070,18
470310,10
470310,13
470310,9
470310,16
470310,8
287450,12
287450,16
593600,18
593600,7
593600,10
593600,2
593600,9
593600,16
214490,18
602700,18
602700,13
595520,9
414870,13
414870,12
414870,20
840010,7
840010,13
840010,9
840010,12
238460,18
238460,7
238460,10
238460,13
337000,18
337000,9
250760,18
250760,7
250760,13
436320,18
436320,13
436320,16
418370,18
418370,7
504230,18
504230,7
504230,13
527430,18
527430,7
527430,13
527430,9
242920,13
242920,12
242920,16
44350,1
44350,20
226860,13
226860,16
530070,12
438740,18
34030,16
502520,13
502520,12
502520,16
984780,1
984780,12
984780,20
311260,9
311260,12
311260,16
311260,8
420930,7
420930,10
420930,13
420930,8
285920,18
285920,13
298900,18
298900,7
221910,7
221910,13
989690,16
2820,18
2820,12
2820,16
701160,7
701160,13
701160,12
701160,16
650000,18
702890,18
240760,7
240760,13
240760,9
240760,16
204880,13
204880,16
804010,7
804010,9
366090,18
366090,7
366090,13
366090,16
366090,8
386940,18
386940,10
386940,13
331670,10
331670,13
331670,16
654880,10
654880,13
654880,12
311290,9
311290,16
626690,18
626690,9
305620,7
305620,13
305620,12
305620,16
590380,13
590380,9
590380,12
590380,16
246620,10
246620,13
246620,12
246620,16
391220,18
391220,7
208650,18
208650,7
877080,13
877080,12
877080,16
322500,18
322500,13
447530,7
447530,13
447530,12
10500,16
760060,9
760060,16
733790,7
733790,9
733790,12
208200,18
323220,18
323220,7
323220,13
323220,9
252870,18
252870,7
252870,13
252870,12
252870,8
413410,7
588650,18
588650,13
673950,10
673950,13
673950,12
357190,18
437920,10
437920,13
356400,18
356400,13
449800,18
742300,18
498240,7
868360,13
868360,12
868360,16
268400,16
344240,18
344240,7
344240,13
344240,9
344240,16
236690,20
236690,16
584400,18
584400,7
