genre_id,genre_name
1,Racing
2,Massively Multiplayer
3,Game Development
4,Free to Play
5,Animation & Modeling
6,Utilities
7,Adventure
8,Early Access
9,RPG
10,Casual
11,Audio Production
12,Simulation
13,Indie
14,Photo Editing
15,Design & Illustration
16,Strategy
17,Video Production
18,Action
19,Software Training
20,Sports
21,Education
22,Web Publishing
